=== Experiment Increment v2: Variasi N dan blockSize ===
GPU aktif: 0 - NVIDIA GeForce GTX 1080 Ti
Max threads per block GPU ini: 1024

N          block      nBlocks    total_threads  idle         kernel_ms      hasil       
------------------------------------------------------------------------------------------
10         4          3          12             2            0.006208       BENAR       
10         10         1          10             0            0.004096       BENAR       
10         32         1          32             22           0.004064       BENAR       
1000       32         32         1024           24           0.005120       BENAR       
100000     256        391        100096         96           0.010848       BENAR       
100        1024       1          1024           924          0.005120       BENAR       
100        1025       SKIP       -              -            -              invalid     
100000     32         3125       100000         0            0.014688       BENAR       
100000     64         1563       100032         32           0.011808       BENAR       
100000     128        782        100096         96           0.010816       BENAR       
100000     512        196        100352         352          0.010784       BENAR       
1000000    128        7813       1000064        64           0.023680       BENAR       
1000000    256        3907       1000192        192          0.024224       BENAR       
1000000    512        1954       1000448        448          0.024256       BENAR       
1000000    1024       977        1000448        448          0.023072       BENAR       
